title,type,release_year,rating,listed_in,favorite
Kota Factory,TV Show,2021,,"International TV Shows, Romantic TV Shows, TV Comedies",False
Chhota Bheem,TV Show,2021,,Kids' TV,False
Shikara,Movie,2020,,"Dramas, International Movies, Romantic Movies",False
Thimmarusu,Movie,2021,,"Dramas, International Movies",False
Pahuna,Movie,2018,,"Comedies, Dramas, International Movies",False
The Creative Indians,TV Show,2020,,"Docuseries, International TV Shows",False
Navarasa,TV Show,2021,,TV Shows,False
Har Kisse Ke Hisse: Kaamyaab,Movie,2020,,"Dramas, International Movies",False
Truckbhar Swapna,Movie,2018,,"Comedies, Dramas, International Movies",False
Haseen Dillruba,Movie,2021,,"International Movies, Romantic Movies, Thrillers",False
Sarbath,Movie,2021,,"Comedies, Dramas, International Movies",False
Skater Girl,Movie,2021,,"Children & Family Movies, Dramas, International Movies",False
99 Songs,Movie,2021,,"Dramas, International Movies, Music & Musicals",False
Sardar Ka Grandson,Movie,2021,,"Comedies, Dramas, International Movies",False
Ahaan,Movie,2021,,"Dramas, Independent Movies, International Movies",False
Alma Matters,TV Show,2021,,"Docuseries, International TV Shows",False
Cinema Bandi,Movie,2021,,"Comedies, Independent Movies, International Movies",False
Tottaa Pataaka Item Maal,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Nayattu,Movie,2021,,"Dramas, International Movies, Thrillers",False
Milestone,Movie,2021,,"Dramas, Independent Movies, International Movies",False
Time to Dance,Movie,2020,,"Dramas, International Movies, Romantic Movies",False
Lava Ka Dhaava,TV Show,2021,,Reality TV,False
The Disciple,Movie,2021,,"Dramas, Independent Movies, International Movies",False
One,Movie,2020,,"Dramas, International Movies",False
Ram Prasad Ki Tehrvi,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Searching For Sheela,Movie,2021,,"Documentaries, International Movies",False
Ajeeb Daastaans,Movie,2021,,"Dramas, Independent Movies, International Movies",False
Tuesdays & Fridays,Movie,2021,,"Comedies, Dramas, International Movies",False
Indian Matchmaking,TV Show,2020,,"Reality TV, Romantic TV Shows",False
Uppena,Movie,2020,,"Dramas, International Movies, Romantic Movies",False
My Love: Six Stories of True Love,TV Show,2021,,Docuseries,False
Roohi,Movie,2021,,"Comedies, Horror Movies, International Movies",False
The Big Day,TV Show,2021,,"International TV Shows, Reality TV, Romantic TV Shows",False
Mandela,Movie,2021,,"Comedies, Dramas, International Movies",False
